"","bibtype","author","title","journal","year","volume","number","pages","month","abstract","doi","issn","unique-id","researcherid-numbers","orcid-numbers","article-number","eissn","editor","booktitle","isbn","note","organization","series","book-group-author"
"ISI:A1996UF47800027","Article","KE Warner and GA Fulton and P Nicolas and DR Grimes","{Employment implications of declining tobacco product sales for the
   regional economies of the United States}","{JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION}","{1996}","{275}","{16}","{1241-1246}","{APR 24}","{Objective.-To determine whether declines in tobacco product sales
   significantly reduce employment in the United States, as the tobacco
   industry claims.
   Design.-Computer simulation of the economies of the Southeast Tobacco
   region and 8 nontobacco regions of the United States, with domestic
   tobacco expenditures eliminated or reduced and the equivalent spending
   redistributed, according to consumers' normal spending patterns, We
   compared these results with baseline forecasts of the regional economies
   that include normal tobacco expenditures.
   Main Outcome Measure.-Number of jobs.
   Results.-Had there been no spending on tobacco products in the United
   States in 1993, the Southeast Tobacco region would have had 303 000
   fewer jobs. Collectively, however, the 8 nontobacco regions would have
   gained enough employment to completely offset losses in the Southeast
   Tobacco region, with every nontobacco region gaining jobs. By the year
   2000, the absence of tobacco spending would mean a loss of 222 000 jobs
   in the Southeast Tobacco region, but a gain of 355 000 throughout the
   rest of the country. In the more realistic scenario of doubling the
   downward trend in tobacco consumption, the Southeast Tobacco region
   would lose 6300 jobs in 1993 (0.03\% of regional employment) and 36 600
   jobs by 2000 (0.2\%). The 8 nontobacco regions would gain 6400 jobs in
   1993 and 56 300 jobs in 2000, with each of the nontobacco regions
   gaining employment in every year.
   Conclusions.-Contrary to the tobacco industry's claims, reductions in
   spending on tobacco products will boost employment in every one of the 8
   nontobacco regions and will not diminish employment in the Southeast
   Tobacco region by as much as the industry estimates. The primary concern
   about tobacco should be the enormity of its toll on health and not its
   impact on employment.}","{10.1001/jama.275.16.1241}","{0098-7484}","{ISI:A1996UF47800027}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:A1993KK57800005","Article","KN DIETRICH and OG BERGER and PA SUCCOP","{LEAD-EXPOSURE AND THE MOTOR DEVELOPMENTAL STATUS OF URBAN 6-YEAR-OLD
   CHILDREN IN THE CINCINNATI PROSPECTIVE-STUDY}","{PEDIATRICS}","{1993}","{91}","{2}","{301-307}","{FEB}","{The relationship between asymptomatic lead exposure and subtle deficits
   in intellectual attainment has been relatively well established by
   modern studies. However, neuromotor performance has rarely been the
   focus of these investigations. It was postulated that motor
   developmental outcomes may be more sensitive indicators of lead's
   adverse effects on the central nervous system as they are probably less
   confounded with social factors than cognitive and academic outcomes. A
   comprehensive neuromotor assessment battery was administered to 245
   six-year-old urban inner-city children enrolled in the Cincinnati Lead
   Study. These children have been followed since birth with quarterly
   assessments of blood lead concentrations, medical status, and
   neurobehavioral development. Prior to covariate adjustment, neonatal,
   but not prenatal blood lead levels were associated with poorer scores on
   assessments of bilateral coordination, upper-limb speed and dexterity,
   and a composite index of fine-motor coordination. Averaged postnatal
   blood lead levels were also associated with lower scores on the
   aforementioned subtests as well as a measure of visual-motor control.
   Following statistical adjustment for covariates, neonatal blood lead
   levels were associated with poorer performance on a measure of
   upper-limb speed and dexterity and the fine-motor composite. Postnatal
   blood lead levels remained significantly associated with poorer scores
   on measures of bilateral coordination, visual-motor control, upper-limb
   speed and dexterity, and the fine-motor composite. Low to moderate lead
   exposure is associated with moderate deficits in gross and especially
   fine-motor developmental status. Results of this study provide support
   for recent initiatives to reduce the exposure of children to sources of
   environmental lead.}",NA,"{0031-4005}","{ISI:A1993KK57800005}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000174186000028","Article","CA Pope and RT Burnett and MJ Thun and EE Calle and D Krewski and K Ito and GD Thurston","{Lung cancer, cardiopulmonary mortality, and long-term exposure to fine
   particulate air pollution}","{JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION}","{2002}","{287}","{9}","{1132-1141}","{MAR 6}","{Context Associations have been found between day-to-day particulate air
   pollution and increased risk of various adverse health outcomes,
   including cardiopulmonary mortality, However, studies of health effects
   of long-term particulate air pollution have been less conclusive.
   Objective To assess the relationship between long-term exposure to fine
   particulate air pollution and all-cause, lung cancer, and
   cardiopulmonary mortality.
   Design, Setting, and Participants Vital status and cause of death data
   were collected by the American Cancer Society as part of the Cancer
   Prevention II study, an ongoing prospective mortality study, which
   enrolled approximately 1.2 million adults in 1982. Participants
   completed a questionnaire detailing individual risk factor data (age,
   sex, race, weight, height, smoking history, education, marital status,
   diet, alcohol consumption, and occupational exposures). The risk factor
   data for approximately 500000 adults were linked with air pollution data
   for metropolitan areas throughout the United States and combined with
   vital status and cause of death data through December 31, 1998.
   Main Outcome Measure All-cause, lung cancer, and cardiopulmonary
   mortality.
   Results Fine particulate and sulfur oxide-related pollution were
   associated with all-cause, lung cancer, and cardiopulmonary mortality.
   Each 10-mug/m(3) elevation in fine particulate air pollution was
   associated with approximately a 4\%, 6\%, and 8\% increased risk of
   all-cause, cardiopulmonary, and lung cancer mortality, respectively,
   Measures of coarse particle fraction and total suspended particles were
   not consistently associated with mortality.
   Conclusion Long-term exposure to combustion-related fine particulate air
   pollution is an important environmental risk factor for cardiopulmonary
   and lung cancer mortality.}","{10.1001/jama.287.9.1132}","{0098-7484}","{ISI:000174186000028}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000266214800010","Article","Goodarz Danaei and Eric L. Ding and Dariush Mozaffarian and Ben Taylor and Juergen Rehm and Christopher J. L. Murray and Majid Ezzati","{The Preventable Causes of Death in the United States: Comparative Risk
   Assessment of Dietary, Lifestyle, and Metabolic Risk Factors}","{PLOS MEDICINE}","{2009}","{6}","{4}",NA,"{APR}","{Background: Knowledge of the number of deaths caused by risk factors is
   needed for health policy and priority setting. Our aim was to estimate
   the mortality effects of the following 12 modifiable dietary, lifestyle,
   and metabolic risk factors in the United States (US) using consistent
   and comparable methods: high blood glucose, low-density lipoprotein
   (LDL) cholesterol, and blood pressure; overweight-obesity; high dietary
   trans fatty acids and salt; low dietary polyunsaturated fatty acids,
   omega-3 fatty acids (seafood), and fruits and vegetables; physical
   inactivity; alcohol use; and tobacco smoking.
   Methods and Findings: We used data on risk factor exposures in the US
   population from nationally representative health surveys and
   disease-specific mortality statistics from the National Center for
   Health Statistics. We obtained the etiological effects of risk factors
   on disease-specific mortality, by age, from systematic reviews and
   meta-analyses of epidemiological studies that had adjusted (i) for major
   potential confounders, and (ii) where possible for regression dilution
   bias. We estimated the number of disease-specific deaths attributable to
   all non-optimal levels of each risk factor exposure, by age and sex. In
   2005, tobacco smoking and high blood pressure were responsible for an
   estimated 467,000 (95\% confidence interval {[}CI] 436,000-500,000) and
   395,000 (372,000-414,000) deaths, accounting for about one in five or
   six deaths in US adults. Overweight-obesity (216,000; 188,000-237,000)
   and physical inactivity (191,000; 164,000-222,000) were each responsible
   for nearly 1 in 10 deaths. High dietary salt (102,000; 97,000-107,000),
   low dietary omega-3 fatty acids (84,000; 72,000-96,000), and high
   dietary trans fatty acids (82,000; 63,000-97,000) were the dietary risks
   with the largest mortality effects. Although 26,000 (23,000-40,000)
   deaths from ischemic heart disease, ischemic stroke, and diabetes were
   averted by current alcohol use, they were outweighed by 90,000
   (88,000-94,000) deaths from other cardiovascular diseases, cancers,
   liver cirrhosis, pancreatitis, alcohol use disorders, road traffic and
   other injuries, and violence.
   Conclusions: Smoking and high blood pressure, which both have effective
   interventions, are responsible for the largest number of deaths in the
   US. Other dietary, lifestyle, and metabolic risk factors for chronic
   diseases also cause a substantial number of deaths in the US.}","{10.1371/journal.pmed.1000058}","{1549-1277}","{ISI:000266214800010}",NA,"{Ding, Eric/0000-0002-5881-8097}","{e1000058}",NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000264653300020","Article","Constantine I. Vardavas and Gregory Connolly and Kostas Karamanolis and Anthony Kafatos","{Adolescents perceived effectiveness of the proposed European graphic
   tobacco warning labels}","{EUROPEAN JOURNAL OF PUBLIC HEALTH}","{2009}","{19}","{2}","{212-217}","{APR}","{Background: Graphical tobacco product labelling is a prominent source of
   health information and has an important position among tobacco control
   initiatives. However, little is known about its effectiveness among
   adolescents. With this above in mind, we aimed to research into how
   adolescents perceive the proposed EU graphic tobacco product warning
   labels as an effective means of preventing smoking initiation in
   comparison to the current EU text-only warning labels. Methods: Five
   hundred seventy four adolescents (1318, 54 male) from Greece were
   privately interviewed, with the use of a digital questionnaire and
   randomly shown seven existing EU text-only and proposed EU graphic
   warning labels. Non-smoking respondents were asked to compare and rate
   the warnings effectiveness in regard to preventing them from smoking on
   a 15 Likert type scale. Results: Irrespective of the warning category
   shown, on all occasions, non-smoking adolescents rated the suggested EU
   graphic labels as more effective in preventing them from smoking in
   comparison to the existing EU text-only warnings. Controlling for
   gender, age, current smoking status and number of cigarettes smoked per
   month, younger adolescents were found to opt for graphic warnings more
   often, and also perceive graphic warning labels as a more effective
   means of preventing them from smoking, in comparison to their elder
   peers (P 0.001). Conclusions: The proposed EU graphic warning labels may
   play an important role in preventing of smoking initiation during the
   crucial years of early adolescence when smoking experimentation and
   early addiction usually take place.}","{10.1093/eurpub/ckp015}","{1101-1262}","{ISI:000264653300020}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000294105900006","Article","James F. Thrasher and Matthew C. Rousu and David Hammond and Ashley Navarro and Jay R. Corrigan","{Estimating the impact of pictorial health warnings and ``plain{''}
   cigarette packaging: Evidence from experimental auctions among adult
   smokers in the United States}","{HEALTH POLICY}","{2011}","{102}","{1}","{41-48}","{SEP}","{Objective: To estimate differences in demand for cigarette packages with
   different packaging and health warning label formats.
   Methods: Adult smokers (n = 404) in four states participated in
   experimental auctions. Participants bid on two of four experimental
   conditions, each involving a different health warning label format but
   with the same warning message: (1) text on 50\% of pack side: (2) text
   on 50\% of the pack front and back; (3) text with a graphic picture on
   50\% of the pack front and back; and (4) same as previous format, but
   without brand imagery.
   Results: Mean bids decreased across conditions (1: \$3.52; 2: \$3.43; 3:
   \$3.11; 4: \$2.93). Bivariate and multivariate random effects models
   indicated that there was no statistically significant difference in
   demand for packs with either of the two text only warnings; however,
   demand was significantly lower for both packs with prominent pictorial
   warnings, with the lowest demand associated with the plain, unbranded
   pack.
   Conclusions: Results suggest that prominent health warnings with graphic
   pictures will reduce demand for cigarettes. Regulators should not only
   consider this type of warning label, but also plain packaging policies
   for tobacco products. (C) 2011 Elsevier Ireland Ltd. All rights
   reserved.}","{10.1016/j.healthpol.2011.06.003}","{0168-8510}","{ISI:000294105900006}",NA,NA,NA,"{1872-6054}",NA,NA,NA,NA,NA,NA,NA
"ISI:000250982200017","Article","James F. Thrasher and Matthew C. Rousu and Rafael Anaya-Ocampo and Luz Myniarn Reynales-Shigematsu and Edna Anillo-Santillan and Mauncio Hernandez-Avila","{Estimating the impact of different cigarette package warning label
   policies: The auction method}","{ADDICTIVE BEHAVIORS}","{2007}","{32}","{12}","{2916-2925}","{DEC}","{The study estimated the reduction in demand associated with implementing
   cigarette package warning labels that contain imagery illustrating the
   consequences of smoking. The experimental auction method was used,
   wherein adult smokers in Mexico (n = 89) placed separate bids on two
   packs of cigarettes: one with a text-only warning label and the other
   with a warning label that included text and a graphic image. Differences
   in the values attributed to each pack were assessed using t-tests and
   multivariate regression. The pack with the graphic image had a mean
   attributed value which was 17\% lower (S3.21 pesos) than the pack with
   the text-only warning, and this difference remained statistically
   significant within subgroups defined by sociodemographics, amount of
   smoking, number of quit attempts, and levels of perceived smoking risks.
   In the multivariate model, the difference in attributed values was
   greater among females than males, but no such differences were found for
   other sociodemographic or smoking-related variables. The consistently
   lower value that smokers attributed to cigarette packages with the
   graphic warning label indicates that these labels are likely to reduce
   cigarette demand. (C) 2007 Elsevier Ltd. All rights reserved.}","{10.1016/j.addbeh.2007.05.018}","{0306-4603}","{ISI:000250982200017}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000230250800038","Article","BP Lanphear and R Hornung and J Khoury and K Yolton and P Baghurstl and DC Bellinger and RL Canfield and KN Dietrich and R Bornschein and T Greene and SJ Rothenberg and HL Needleman and L Schnaas and G Wasserman and J Graziano and R Roberts","{Low-level environmental lead exposure and children's intellectual
   function: An international pooled analysis}","{ENVIRONMENTAL HEALTH PERSPECTIVES}","{2005}","{113}","{7}","{894-899}","{JUL}","{Lead is a confirmed neurotoxin, but questions remain about
   lead-associated intellectual deficits at blood lead levels < 10 pg/dL
   and whether lower exposures are, for a given change in exposure,
   associated with greater deficits. The objective of this study was to
   examine the association of intelligence test scores and blood lead
   concentration, especially for children who had maximal measured blood
   lead levels < 10 mu g/dL. We examined data collected from 1,333 children
   who participated in seven international population-based longitudinal
   cohort studies, followed from birth or infancy until 5-10 years of age.
   The full-scale IQ score was the primary outcome measure. The geometric
   mean blood lead concentration of the children peaked at 17.8 mu g/dL and
   declined to 9.4 mu g/dL by 5-7 years of age; 244 (18\%) children had a
   maximal blood lead concentration < 10 mu g/dL, and 103 (8\%) had a
   maximal blood lead concentration < 7.5 pg/dL. After adjustment for
   covariates, we found an inverse relationship between blood lead
   concentration and IQ score. Using a log-linear model, we found a 6.9 IQ
   point decrement {[}95\% confidence interval (CI), 4.2-9.4] associated
   with an increase in concurrent blood lead levels from 2.4 to 30 mu g/dL.
   The estimated IQ point decrements associated with an increase in blood
   lead from 2.4 to 10 pg/dL, 10 to 20 pg/dL, and 20 to 30 pg/dL were 3.9
   (95\% Cl, 2.4-5-3), 1.9 (95\% Cl, 1.2-2.6), and 1.1 (95\% Cl, 0.7-1.5),
   respectively. For a given increase in blood lead, the lead-associated
   intellectual decrement for children with a maximal blood lead level <
   7.5 pg/dL was significantly greater than that observed for those with a
   maximal blood lead level >= 7.5 pg/dL (p = 0.015). We conclude that
   environmental lead exposure in children who have maximal blood lead
   levels < 7.5 Pg/dL is associated with intellectual deficits.}","{10.1289/ehp.7688}","{0091-6765}","{ISI:000230250800038}","{Rothenberg, Stephen/A-1313-2008
   Rothenberg, Stephen/A-2147-2009
   Khoury, Jane/O-2068-2015}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000254492800012","Article","Henry A. . Roman and Katherine D. Walker and Tyra L. Walsh and Lisa Conner and Harvey M. Richmond and Bryan J. Hubbell and Patrick L. Kinney","{Expert judgment assessment of the mortality impact of changes in ambient
   fine particulate matter in the US}","{ENVIRONMENTAL SCIENCE \& TECHNOLOGY}","{2008}","{42}","{7}","{2268-2274}","{APR 1}","{In this paper, we present findings from a multiyear expert judgment
   study that comprehensively characterizes uncertainty in estimates of
   mortality reductions associated with decreases in tine particulate
   matter (PM2.5) in the U.S. Appropriate characterization of uncertainty
   is critical because mortality-related benefits represent up to 90\% of
   the monetized benefits reported in the Environmental Protection Agency's
   (EPA's) analyses of proposed air regulations. Numerous epidemiological
   and toxicological studies have evaluated the PM2.5-mortality association
   and investigated issues that may contribute to uncertainty in the
   concentration-response (C-R) function, such as exposure
   misclassification and potential confounding from other pollutant
   exposures. EPA's current uncertainty analysis methods rely largely on
   standard errors in published studies. However, no one study tan capture
   the full suite of issues that arise in quantifying the C-R relationship.
   Therefore, EPA has applied state-of-the-art expert judgment elicitation
   techniques to develop probabilistic uncertainty distributions that
   reflect the broader array of uncertainties in the C-R relationship.
   These distributions, elicited from 12 of the world's leading experts on
   this issue, suggest both potentially larger central estimates of
   mortality reductions for decreases in long-term PM2.5 exposure in the
   U.S. and a wider distribution of uncertainty than currently employed in
   EPA analyses.}","{10.1021/es0713882}","{0013-936X}","{ISI:000254492800012}","{Kinney, Patrick/H-7914-2012}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:A1989U491800010","Article","CB ERNHART and M MORROWTLUCAK and AW WOLF and D SUPER and D DROTAR","{LOW-LEVEL LEAD-EXPOSURE IN THE PRENATAL AND EARLY PRESCHOOL PERIODS -
   INTELLIGENCE PRIOR TO SCHOOL ENTRY}","{NEUROTOXICOLOGY AND TERATOLOGY}","{1989}","{11}","{2}","{161-170}","{MAR-APR}",NA,"{10.1016/0892-0362(89)90055-X}","{0892-0362}","{ISI:A1989U491800010}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000181482700005","Article","SR Hilts","{Effect of smelter emission reductions on children's blood lead levels}","{SCIENCE OF THE TOTAL ENVIRONMENT}","{2003}","{303}","{1-2}","{51-58}","{FEB 15}","{Trail, British Columbia has been the site of an active lead-zinc smelter
   for approximately 95 years. Since 1989, the community has been
   monitoring blood lead levels in children, studying exposure pathways and
   conducting comprehensive education and case management programs. From
   1989 through 1996, mean blood lead levels of preschool children declined
   at an average rate of 0.6 mug/dl per year. From 1996 to 1999, mean blood
   lead levels fell at an average rate of 1.8 mug/dl per year, from 11.5 in
   1996 to 5.9 in 1999. The recent rapid decline appears to be mainly
   attributable to the start-up of a new lead smelter using modern
   flash-smelting technology in May of 1997. In 1998, the annual arithmetic
   mean air lead level in Trail was 0.28 mug/m(3), compared with 1.1
   mug/m(3) in 1996. Reductions of approximately 50\% were observed in lead
   loadings and concentrations in outdoor dustfall, street dust and indoor
   dustfall after smelter emissions were reduced. Slight reductions
   (statistically insignificant) have been observed in carpet dust and soil
   lead concentrations. During the summer of 2001, the smelting and
   refining operations at Trail were shut down completely for 3 months.
   During this period, average air lead levels in Trail dropped to 0.03
   mug/m(3). The average blood lead level in Trail pre-school children at
   the end of the shutdown was 4.7 mug/dl. These results challenge
   prevailing theories about the relative importance of various
   environmental lead sources. For example, the US EPA Integrated
   Biokinetic Uptake Model for Lead(IEUBK), with its emphasis on soil
   concentrations, would not have predicted the dramatic decline in
   children's blood lead levels seen in Trail following the reductions in
   air lead levels. The Trail experience suggests that increased attention
   should be paid to the importance of active sources of highly
   bioavailable and mobile lead bearing dusts. (C) 2002 Elsevier Science
   B.V. All rights reserved.}","{10.1016/S0048-9697(02)00357-1}","{0048-9697}","{ISI:000181482700005}",NA,NA,"{PII S0048-9697(02)00357-1}",NA,NA,NA,NA,NA,NA,NA,NA
"ISI:000282687000011","Article","Geoffrey T. Fong and David Hammond and Yuan Jiang and Qiang Li and Anne C. K. Quah and Pete Driezen and Mi Yan and ITC China Project Team","{Perceptions of tobacco health warnings in China compared with picture
   and text-only health warnings from other countries: an experimental
   study}","{TOBACCO CONTROL}","{2010}","{19}","{2}",NA,"{OCT}","{Objective To assess the perceived effectiveness of cigarette health
   warnings in China, compared with picture and text-only warnings from
   other countries.
   Method 1169 individuals ( adult smokers, adult nonsmokers and youth)
   from four Chinese cities ( Beijing, Shanghai, Kunming and Yinchuan)
   viewed 10 health warnings on cigarette packages, which included ( a) the
   current Chinese text warnings covering 30\% of the front/back of the
   pack ( introduced October 2008); (b) the former Chinese text warning
   located on the side of the pack; ( c) four picture warnings covering
   50\% of the front/back of the pack from Canada ( lung cancer), Singapore
   ( mouth disease), Hong Kong ( gangrene) and European Union ( clogged
   arteries); and ( d) the same four warnings without the picture.
   Participants rated and ranked the 10 warnings on dimensions including
   how effective each would be in motivating smokers to quit and in
   convincing youth not to start smoking.
   Results Both Chinese warnings were consistently rated as least
   effective, with the new Chinese warning rated only slightly higher than
   the old warning. The picture warnings were consistently ranked or rated
   as most effective, with the text-only versions in the middle. Results
   were consistent across subject group, city and sex.
   Conclusions ( 1) Picture warnings are rated as much more effective than
   the same warnings without pictures. ( 2) The revised health warnings in
   China, introduced in October 2008, are only marginally more effective
   than the previous warning and far less effective than even text warnings
   from other countries. These results, coupled with population-based
   evaluation studies, suggest that pictorial warnings would significantly
   increase the impact of health warnings in China.}","{10.1136/tc.2010.036483}","{0964-4563}","{ISI:000282687000011}","{Fong, Geoffrey/H-2810-2014}","{Fong, Geoffrey/0000-0001-9098-6472}","{i69}",NA,NA,NA,NA,NA,NA,NA,NA
