Title,RIN,Secondary RIN,Stage,Original Sheet,Unique ID,Release Date,Agency,Senate Committee,House Committee,Joint Committee,Number of Docket Comments from Regulations.gov,Number of Public Comments from regulations.gov,Number of Public Comments from Sunlight Foundation Docketwrench,"Number of Public Comments from Sunlight Foundation Docketwrench (after clicking ""View and Search Comments"")",Docket URL,Recognized Organization Commentators,Agency Code,Rule Summary,Bibliography,Comments,Double Check
Review of the Primary National Ambient Air Quality Standard for Sulfur Dioxide,2060-AO48,,Final Rule,RIAMeta2009,11,8-Dec-09,Environmental Protection Agency,N/A,N/A,,13452,1206,1206,1199,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2007-0352,None,2000,"This Regulatory Impact Analysis (RIA) provides illustrative estimates of the incremental costs and monetized human health benefits of attaining a revised short-term Sulfur Dioxide (SO2) National Ambient Air Quality Standard (NAAQS) within the current monitoring network of 488 SO2 monitors. Because this analysis only considers counties with an SO2 monitor, the possibility exists that there may be many more potential nonattainment areas than have been analyzed in this RIA.",,,
Greenhouse Gas Mandatory Reporting Rule,2060-AO79,,Final Rule,RIAMeta2009,9,10-Apr-09,Environmental Protection Agency,N/A,N/A,,17714,1924,1924,1912,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2008-0508,None,2000,"EPA is proposing a regulation to require reporting of greenhouse gas emissions from all sectors of the economy. The rule would apply to fossil fuel suppliers and industrial gas suppliers, as well as to direct greenhouse gas emitters. The proposed rule does not require control of greenhouse gases, rather it requires only that sources above certain threshold levels monitor and report emissions.",,,
Renewable Fuels Standard Program,2060-AO81,,Final Rule,,32,7-Jul-09,Environmental Protection Agency,N/A,N/A,,42650,1789,1789,1780,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2005-0161,Friends of the Earth; Clean Air Task Force,2060,"With this proposed rule, the Environmental Protection Agency is enacting the requirements of the Energy Independence and Security Act of 2007 (EISA). The statutory requirements implement changes to the Renewable Fuel Standard (RFS) program, specifying the volumes of cellulosic biofuel, biomass-based diesel, advanced biofuel, and total renewable fuel that must be used in transportation each year, with the volumes increasing over time. The revised statutory requirements also include new definitions and criteria for both renewable fuels and the feed stocks used to produce them.",Yes,,
"National Emission Standards for Hazardous Air Pollutants for Reciprocating Internal Combustion Engines
",2060-AP36,,Final Rule,RIAMeta2009,14,5-Mar-09,Environmental Protection Agency,Committee on Environment and Public Works,Committee on Energy and Commerce,,1099,1008,1022,1001,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2008-0708,None,2000,"EPA is proposing national emission standards for hazardous air pollutants (HAPs) for existing stationary reciprocating internal combustion engines that either are located at area sources of hazardous air pollutant emissions or that have a site rating of less than or equal to 500 brake horsepower and are located at major sources of hazardous air pollutant emissions. In addition, EPA is proposing national emission standards for hazardous air pollutants for existing stationary compression ignition engines greater than 500 brake horsepower that are located at major sources, based on a new review of these engines following the first RICE NESHAP rulemaking in 2004. In addition, EPA is proposing to amend the previously promulgated regulations regarding operation of stationary reciprocating internal combustion engines during periods of startup, shutdown and malfunction.",,,
Interstate Transport of Nitrogen Oxides and Sulfur Dioxide,2060-AP50,,Final Rule,RIAMeta2010-2011,3,2-Aug-10,Environmental Protection Agency,N/A,Committee on Energy and Commerce,,43024,3987,3985,3968,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2009-0491,None,2000,"EPA proposes to limit the interstate transport of emissions of nitrogen oxides (NOX) and sulfur dioxide (SO2). In this action, EPA proposes to both identify and limit emissions within 32 states in the eastern United States that affect the ability of downwind states to attain and maintain compliance with the 1997 and 2006 fine particulate matter (PM2.5) national ambient air quality standards (NAAQS) and the 1997 ozone NAAQS. EPA proposes to limit these emissions through Federal Implementation Plans (FIPs) that regulate electric generating units (EGUs) in the 32 states.",Yes,,
National Emission Standards for Hazardous Air Pollutants for Coal- and Oil-Fired Electric Utility Steam Generating Units,2060-AP52,,Final Rule,RIAMeta2010-2011,22,3-May-11,Environmental Protection Agency,Committee on Environment and Public Works,Committee on Energy and Commerce,,729082,16849,16836,16743,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2009-0234,None,2000,"The United States (U.S.) Environmental Protection Agency (EPA or Agency) is proposing national emission standards for hazardous air pollutants (NESHAP) from coal- and oil-fired electric utility steam generating units (EGUs) under Clean Air Act (CAA or the Act) section 112(d) and proposing revised new source performance standards (NSPS) for fossil fuel-fired EGUs under CAA section 111(b). The proposed NESHAP would protect air quality and promote public health by reducing emissions of the hazardous air pollutants (HAP) listed in CAA section 112(b). In addition, these proposed amendments to the NSPS are in response to a voluntary remand of a final rule. We also are proposing several minor amendments, technical clarifications, and corrections to existing NSPS provisions for fossil fuel-fired EGUs and large and small industrial-commercial-institutional steam generating units.",Yes,,
Control of Greenhouse Gases from Light-Duty Vehicles,2060-AP58,,Final Rule,RIAMeta2008,6,28-Sep-09,Environmental Protection Agency/Department of Transportation,"Committee on Commerce, Science, and Transportation",Committee on Energy and Commerce,,169254,10821,10821,10766,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2009-0472,None,2100/2000,"EPA and NHTSA are issuing this joint proposal to establish a national program consisting of new standards for light-duty vehicles that will reduce greenhouse gas emissions and improve fuel economy. This joint proposed rulemaking is consistent with the National Fuel Efficiency Policy announced by President Obama on May 19, 2009, responding to the country’s critical need to address global climate change and to reduce oil consumption. EPA is proposing greenhouse gas emissions standards under the Clean Air Act, and NHTSA is proposing Corporate Average Fuel Economy standards under the Energy Policy and Conservation Act, as amended. These standards apply to passenger cars, light-duty trucks, and medium-duty passenger vehicles, covering model years 2012 through 2016, and represent a harmonized and consistent national program. Under the national program, automobile manufacturers would be able to build a single light-duty national fleet that satisfies all requirements under both programs while ensuring that consumers still have a full range of vehicle choices.",No,,
Control of Greenhouse Gases from Light-Duty Vehicles,"2060-AP58
",,Final Rule,RIAMeta2009,12,28-Sep-09,Joint EPA/DOT,"Committee on Commerce, Science, and Transportation",Committee on Energy and Commerce,,169254,10821,10821,10766,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2009-0472,None,2100/2000,"EPA and NHTSA are issuing this joint proposal to establish a national program consisting of new standards for light-duty vehicles that will reduce greenhouse gas emissions and improve fuel economy. This joint proposed rulemaking is consistent with the National Fuel Efficiency Policy announced by President Obama on May 19, 2009, responding to the country’s critical need to address global climate change and to reduce oil consumption. EPA is proposing greenhouse gas emissions standards under the Clean Air Act, and NHTSA is proposing Corporate Average Fuel Economy standards under the Energy Policy and Conservation Act, as amended. These standards apply to passenger cars, light-duty trucks, and medium-duty passenger vehicles, covering model years 2012 through 2016, and represent a harmonized and consistent national program. Under the national program, automobile manufacturers would be able to build a single light-duty national fleet that satisfies all requirements under both programs while ensuring that consumers still have a full range of vehicle choices",NO,,
Greenhouse Gas & Fuel Efficiency for Medium/Heavy Duty Vehicles,2060-AP61,,Final Rule,RIAMetaRussell,1,30-Nov-10,Environmental Protection Agency and Department of Transportation,N/A,Committee on Energy and Commerce,,145926,2981,2981,2968,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2010-0162,Cummins Inc,2100/2000,"EPA and NHTSA, on behalf of the Department of Transportation, are each proposing rules to establish a comprehensive Heavy-Duty National Program that will reduce greenhouse gas emissions and increase fuel efficiency for on-road heavy-duty vehicles, responding to the President’s directive on May 21, 2010 to take coordinated steps to produce a new generation of clean vehicles.",Yes ,"Nick finished through chapter 8, citation number 238 in references; is Unique ID 12 in Nick's spreadsheet",
Greenhouse Gas & Fuel Efficiency for Medium/Heavy Duty Vehicles,2060-AP61,,Final Rule,RIAMetaNick,12,30-Nov-10,Environmental Protection Agency and Department of Transportation,N/A,Committee on Energy and Commerce,,145926,2981,2981,2968,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2010-0162,Cummins Inc,2100/2000,"EPA and NHTSA, on behalf of the Department of Transportation, are each proposing rules to establish a comprehensive Heavy-Duty National Program that will reduce greenhouse gas emissions and increase fuel efficiency for on-road heavy-duty vehicles, responding to the President’s directive on May 21, 2010 to take coordinated steps to produce a new generation of clean vehicles.",yes,RIA is a ZIP file that opens 10 separate chapters,
Oil and Natural Gas Sector: New Source Performance Standards and National Emission Standards for Hazardous Air Pollutants Reviews,2060-AP76,,Final Rule,RIAMetaRitika,6,"Aug 23, 2011",Environment Protection Agency,Committee on Environment and Public Works,Committee on Energy and Commerce,,252797,4449,4449,4423,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2010-0505,None,2000,"In this regulation the Environmental Protection Agency (EPA) proposes the adoption of the New Source Performance Standards (NSPS) for volatile organic compounds (VOC) and sulfur dioxide emissions from Natural Gas Processing Plants, adding any oil and gas operation not currently covered under the listing. The rule requires specific changes in the technology used so that fewer pollutants are emitted or a greater fraction of emitted pollutants are captured. The regulation also proposes new standards for the National Emission Standards for Hazardous Air Pollutants (NESHAP), addressing provisions related to periods of startup, shutdown, and malfunction.",Yes,,
Prevention of Significant Deterioration/Title V Greenhouse Gas Tailoring Rule,2060-AP86,2060-AR10,Final Rule,RIAMeta2009,8,27-Oct-09,Environmental Protection Agency,Committee on Environment and Public Works,Committee on Energy and Commerce,,457697,19198,19213,19109,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2009-0517,None,2000,"EPA is proposing to tailor the major source applicability thresholds for greenhouse gas (GHG) emissions under the Prevention of Significant Deterioration (PSD) and title V programs of the Clean Air Act (CAA or Act) and to set a PSD significance level for GHG emissions. This proposal is necessary because EPA expects soon to promulgate regulations under the CAA to control GHG emissions and, as a result, trigger PSD and title V applicability requirements for GHG emissions. If PSD and title V requirements apply at the applicability levels provided under the CAA, State permitting authorities would be paralyzed by permit applications in numbers that are orders of magnitude greater than their current administrative resources could accommodate. On the basis of the legal doctrines of ‘‘absurd results’’ and ‘‘administrative necessity,’’ this proposed rule would phase in the applicability thresholds for both the PSD and title V programs for sources of GHG emissions. The first phase, which would last 6 years, would establish a temporary level for the PSD and title V applicability thresholds at 25,000 tons per year (tpy), on a ‘‘carbon dioxide equivalent’’ (CO2e) basis, and a temporary PSD significance level for GHG emissions of between 10,000 and 25,000 tpy CO2e. EPA would also take other streamlining actions during this time. Within 5 years of the final version of this rule, EPA would conduct a study to assess the administrability issues. Then, EPA would conduct another rulemaking, to be completed by the end of the sixth year, that would promulgate, as the second phase, revised applicability and significance level thresholds and other streamlining techniques, as appropriate.",,,
Sewage Sludge Incineration Units ,2060-AP90,,Proposed Rule,RIAMeta2010-2011,1,14-Oct-10,Environmental Protection Agency,Committee on Environment and Public Works,Committee on Energy and Commerce,,95,94,94,93,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2009-0559,None,2000,"This action proposes how EPA will address Clean Air Act requirements to establish new source performance standards for new units and emission guidelines for existing units for specific categories of solid waste incineration units. In previous actions, EPA has promulgated new source performance standards and emission guidelines for large municipal waste combustion units, small municipal waste combustion units, commercial and industrial solid waste incineration units, and other solid waste incineration units. These actions did not establish emission standards for sewage sludge incineration units. In this action, EPA is proposing new source performance standards and emission guidelines for sewage sludge incineration units.",Yes,,
Reconsideration of the 2008 Ozone NAAQs,2060-AP98,,Final Rule,RIAMeta2010-2011,11,19-Jan-10,Environmental Protection Agency,N/A,N/A,,173791,12103,12102,12046,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2005-0172,University of North Carolina-Chapel Hil,2000,"Based on its reconsideration of the primary and secondary national ambient air quality standards (NAAQS) for ozone (O3) set in March 2008, EPA proposes to set different primary and secondary standards then those set in 2008 to provide requisite protections of public health and welfare, repectively. With regard to the primary standard for O3, EPA proposes that the level of the 8-hour primary standard, which was set at 0.075 ppm in the 2008 final rule, should instead be set at a lower level within the range of 0.060 to 0.070 parts per million (ppm), to provide increased protection for children and other ""at risk"" populations against an array of O3-related adverse health effects that range from decreased lung function and increased respiratory symptoms to serious indicatiors of respiratory morbidity including emergency department visits and hospital admissions for respiratory causes, and possibly cardiovascular-related morbidity as well as total non-accidental and cardiopulmonary mortality. With regard to the secondary O3 standard, which was set identical to the revised primary standard in the 2008 final rule, should instead be a new cumulative, seasonal standard expressed as an annual index of the sum of weighted hourly concentrations, cumulated over 12 hours per day (8 am to 8 pm) during the consecutive 3-month period within the O3 season with the maximum index value, set at a level within the range of 7 to 15 ppm-hours, to provide increased protection against O3-related adverse impacts on vegetation and forested ecosystems.",Yes,,
2017 and Later Model Year Light-Duty Vehicle Greenhouse Gas Emissions and Corporate Average Fuel Economy,2060-AQ54,,Final Rule,RIAMetaChristina,5,1-Dec-11,"Department of Transportation, Environmental Protection Agency",Committee on Environment and Public Works,Committee on Energy and Commerce,,376158,11316,11316,11264,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2010-0799,None,2100/2000,"Proposes standards for greenhouse gas emissions and corporate average fuel economy for light vehicles for 2017-2025; responds to a Presidential memorandum of 2010. EPA and NHTSA, on behalf of the Department of Transportation, are issuing this joint proposal to further reduce greenhouse gas emissions and improve fuel economy for light-duty vehicles. This proposed rulemaking extends the National Program beyond the greenhouse gas and corporate average fuel economy standards set for model years 2012–2016 and is aimed at global climate change and reduction of oil consumption. The rulemaking also considers minor changes in regulations applicable to MY 2012–2016, with respect to air conditioner performance.",Yes,,
Reconsideration of Final National Emission Standards for Hazardous Air Pollutants for Reciprocating Internal Combustion Engines,2060-AQ58,,Proposed Rule,RIAMetaRussell,2,7-Jun-12,Environmental Protection Agency,Committee on Environment and Public Works,Committee on Energy and Commerce,,1099,1008,1022,1001,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2008-0708,None,2000,"EPA is proposing amendments to national emission standards for hazardous air pollutants for stationary reciprocating internal combustion engines under section 112 of the Clean Air Act. Proposed amendments include alternative testing options for certain large spark ignition stationary reciprocating internal combustion engines, management practices for a subset of existing spark ignition stationary reciprocating internal combustion engines in sparsely populated areas, and alternative monitoring and compliance options for the same engines in populated areas. EPA also proposes to include a limited temporary allowance for existing stationary emergency area source engines to be used for peak shaving and non-emergency demand response. EPA also proposes to increase hours that stationary emergency engines may be used for emergency demand response. Proposed amendments also correct minor mistakes in the preexisting regulations.",Yes ,Connor finished through page 2 of the references section; is Unique ID 12 in Connor's spreadsheet,
Reconsideration of Final National Emission Standards for Hazardous Air Pollutants for Reciprocating Internal Combustion Engines,2060-AQ58,,Proposed Rule,RIAMetaConnor,12,7-Jun-12,Environmental Protection Agency,Committee on Environment and Public Works,Committee on Energy and Commerce,,1099,1008,1022,1001,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2008-0708,None,2000,"EPA is proposing amendments to national emission standards for hazardous air pollutants for stationary reciprocating internal combustion engines under section 112 of the Clean Air Act. Proposed amendments include alternative testing options for certain large spark ignition stationary reciprocating internal combustion engines, management practices for a subset of existing spark ignition stationary reciprocating internal combustion engines in sparsely populated areas, and alternative monitoring and compliance options for the same engines in populated areas. EPA also proposes to include a limited temporary allowance for existing stationary emergency area source engines to be used for peak shaving and non-emergency demand response. EPA also proposes to increase hours that stationary emergency engines may be used for emergency demand response. Proposed amendments also correct minor mistakes in the preexisting regulations.",Yes ,,
"National Emission Standards for Hazardous Air Pollutants for Major Sources: Industrial, Commercial, and Institutional Boilers and Process Heaters; Proposed Reconsideration",2060-AR13,2060-AM44,,RIAMetaNick,9,21-Feb-12,Environmental Protection Agency,Committee on Environment and Public Works,Committee on Energy and Commerce,,65423,3173,3173,3161,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OAR-2002-0058,None,2000,"This proposed rule regulates hydrogen chloride (HCl) (as a surrogate for acid gas hazardous air pollutants [HAP]), total selected metals (TSM) or particulate matter (PM) (as a surrogate for non-mercury HAP metals), carbon monoxide (CO) (as a surrogate for non-dioxin/furan organic HAP), mercury (Hg), and dioxin/furan emissions from boilers and process heaters. The rule sets various emission standards for existing and new Industrial, Commercial, and Institutional Boilers and Process Heaters designed with a heat input capacity of ten million British thermal units per hour (MMBtu/hr) or greater and based on the sixteen different fuel types. Typically, each facility is required to (1) conduct initial and annual stack tests to determine compliance with the PM emission limits or conduct initial and annual stack tests to determine compliance with the TSM emission limits, (2) conduct initial and annual stack tests to determine compliance with the Hg emission limits, (3) conduct initial and annual stack tests to determine compliance with the HCl emission limits, (4) use EPA Method 19 to convert measured concentration values to pound per million Btu values, and (5) conduct initial and annual tests to determine compliance with the CO emission limits or install, operate, and maintain a CO continuous emission monitoring system. The standards were postponed during judicial review and are now resumed. Comments have been received, and further comments were elicited by the publication of the proposed rulemaking. Definitions are tightened for several CFR references.",,No link to RIA,In Proposed Rule but EPA decided not to write a new RIA because this proposed rule is only for changes to an existing rule.
"Lead; Amendment to the Opt-out and Recordkeeping Provisions in the Renovation, Repair, and Painting Program",2070-AJ55,,Final Rule,RIAMeta2009,10,28-Oct-09,Environmental Protection Agency,Committee on Environment and Public Works,Committee on Energy and Commerce,,1323,792,805,787,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OPPT-2005-0049,None,2000,"EPA is proposing several revisions to the Lead Renovation, Repair, and Painting Program (RRP) rule that published in the Federal Register on April 22, 2008. The rule establishes accreditation, training, certification, and recordkeeping requirements as well as work practice standards on persons performing renovations for compensation in most pre-1978 housing and child-occupied facilities. In this document, EPA is proposing to eliminate the ‘‘opt-out’’ provision that currently exempts a renovation firm from the training and work practice requirements of the rule where the firm obtains a certification from the owner of a residence he or she occupies that no child under age 6 or pregnant women resides in the home and the home is not a child-occupied facility. EPA is also proposing to require renovation firms to provide a copy of the records demonstrating compliance with the training and work practice requirements of the RRP rule to the owner and, if different, the occupant of the building being renovated or the operator of the child-occupied facility.",,,
Lead; Clearance and Clearance Testing Requirements,2070-AJ57,,Proposed Rule,RIAMeta2010-2011,12,6-May-10,Environmental Protection Agency,Committee on Environment and Public Works,Committee on Energy and Commerce,,1323,792,805,787,http://www.regulations.gov/#!docketDetail;D=EPA-HQ-OPPT-2005-0049,None,2000,"EPA is proposing several revisions to the 2008 Lead Renovation, Repair, and Painting Program (RRP) rule that established accreditation, training, certification, and recordkeeping requirements as well as work practice standards for persons performing renovations for compensation in most pre-1978 housing and child-occupied facilities. EPA is particularly concerned about dust-lead hazards generated by renovations because of the well documented toxicity of lead, especially to younger children. This proposal includes additional requirements designed to ensure that lead-based paint hazards generated by renovation work are adequately cleaned after renovation work is finished and before the work areas are re-occupied. Specifically, EPA is proposing to require dust wipe testing after many renovations covered by the RRP rule. For a subset of jobs involving demolition or removal of plaster through destructive means or the disturbance of paint using machines designed to remove paint through high-speed operation, such as power sanders or abrasive blasters, this proposal would also require the renovation firm to demonstrate, through dust wipe testing, that dust-lead levels remaining in the work area are below regulatory levels.",Yes,,
"Credit Assistance for Surface Transportation Projects
",2105-AD70,,Proposed Rule,RIAMetaRitika,3,"Jan 21, 2009",Department of Transportation,N/A,N/A,,1,1,1,1,http://www.regulations.gov/#!docketDetail;D=DOT-OST-2009-0004,None,2100,"Recent changes to the Transportation Infrastructure Finance and Innovation Act (TIFIA) statute require changes in the TIFIA rule. In addition, the DOT has gained substantial administrative experience since the TIFIA rule was last amended in 2000. The DOT proposes to amend the TIFIA rule to implement the recent statutory changes and to incorporate certain other changes to the rule that it considers will improve the efficiency of the program and its usefulness to borrowers. In addition, the DOT seeks comment on policy issues with potentially significant impact on the TIFIA project selection process.",No,"RIA in Proposed Rule, no citations",Found citations and entered them.
Congestion Management Rule for LaGuardia Airport,2120-AI70,,Final Rule,RIAMeta2008,11,16-Apr-08,Department of Transportation,"Committee on Commerce, Science, and Transportation",Committee on Transportation and Infrastructure,,106,106,106,106,http://www.regulations.gov/#!docketDetail;D=FAA-2006-25709,"FAA; Air Transport Association of America; Wiley, Rein & Fielding; Air Carrier Association of America; Airports Council International/North America; US Airways; Hogan & Hartson; Newport News-Williamsburg International Airport; American Association of Airport Executives; National Air Carrier Association; Commonwealth of Kentucky; American Airlines; Ata; Port Authority of New York & New Jersey; Shuttle America; Air Canada; Northwest Airlines; Wilmer, Cutler & Pickering; US Senate; New York State Department of Transportation; National Air Transportation Association; Regional Airline Association; Clark County; International Air Transport Association; Daniel Webster College; Sher & Blackwell; Louisville Regional Airport Authority; WilmerHale; Canadian Airports Council; Ohio Chamber of Commerce; Holland & Knight; East Carolina University; Federal Trade Commission; Association of Professional Flight Attendants; Delta Airlines; Dow, Lohnes & Albertson; Alaska Air Group",2100,DOT proposes to permanently cap flight operations at LaGuardia and auction off a limited number of landing slots at LaGuardia annually.,No,,
Congestion Management Rule for John F. Kennedy International Airport and Newark Liberty National Airport,2120-AJ28,,Final Rule,RIAMetaRussell,7,21-May-08,Department of Transportation,"Committee on Commerce, Science, and Transportation",Committee on Transportation and Infrastructure,,52,52,51,50,http://www.regulations.gov/#!docketDetail;D=FAA-2008-0517,"FAA; Air Transport Association of America; International Air Transport Association; Deutsche Lufthansa; KLM; Continental Airlines; Wilmer, Cutler & Pickering; British Airways; Air France-KLM; Regional Airline Association; Aircraft Owners & Pilots Association; Boeing Co; American Association of Airport Executives; JetBlue Airways; Canadian Airports Council; Delta Airlines; American Airlines; US Airways; Port Authority of New York & New Jersey; All Nippon Airways",2100,The rule caps flights at both airports and auctions some landing slots at each.,No,Proposed Rule,
Flight Crewmember Duty and Rest Requirements,2120-AJ58,,Proposed Rule,RIAMeta2010-2011,15,14-Sep-10,Department of Transportation,"Committee on Commerce, Science, and Transportation",Committee on Transportation and Infrastructure,,2424,2425,2422,2412,http://www.regulations.gov/#!docketDetail;D=FAA-2009-1093,"United Airlines; American Airlines; FAA; Southwest Airlines; Air Line Pilots Association; Delta Airlines; Continental Airlines; Allied Pilots Association; Dow Lohnes PLLC; United Parcel Service; Jones, Day et al; Coalition of Airline Pilots Association; Regional Airline Association; Air Transport Association of America; National Air Carrier Association; Atlas Air Worldwide; Hawaiian Airlines; Kalitta Air LLC; Independent Pilots Association; Omni Air International; Southwest Airlines Pilots Association; International Air Transport Association; NetJets Inc; US Airways; Alaska Air Group; Northern Air Cargo; Teamsters Union; Allegiant Air; US Senate; National Guard; National Business Aviation Association; US Coast Guard; Association of Flight Attendants; Airlines for America; Cozen O'Connor; American Academy of Sleep Medicine; Peninsula Airways Inc; Emerson; University of Texas; Motorola Inc; Pinnacle Airlines",2100,"The FAA is proposing to amend its existing flight, duty and rest regulations applicable to certificate holders and their flightcrew members. The proposal recognizes the growing similarities between the types of operations and the universality of factors that lead to fatigue in most individuals. Fatigue threatens aviation safety because it increases the risk of pilot error that could lead to an accident. The new requirements, if adopted, would eliminate the current distinctions between domestic, flag and supplemental operations. The proposal provides different requirements based on the time of day, whether an individual is acclimated to a new time zone, and the likelihood of being able to sleep under different circumstances.",No,,
Real-Time System Management Information Program,2125-AF19,,Final Rule,RIAMeta2009,29,14-Jan-09,Department of Transportation,"Committee on Commerce, Science, and Transportation",Committee on Transportation and Infrastructure,,77,77,76,76,http://www.regulations.gov/#!docketDetail;D=FHWA-2006-24219,Metropolitan Transportation Commission; North Carolina Department of Transportation; New York State Department of Transportation; Washington State Department of Transportation; Vehicle Traffic Information Coalition; Transportation Institute; BMW of North America; Illinois Department of Transportation; Arizona Department of Transportation; Michigan Department of Transportation; Oregon Department of Transportation; Texas Department of Transportation; Minnesota Department of Transportation; Pbs&J; Inrix; AirSage; Smartroute Systems; Clear Channel Communications; Institute of Transportation  Engineers,2100,"Section 1201 of the Safe, Accountable, Flexible, Efficient Transportation Equity Act: A Legacy for Users (SAFETEA–LU) requires the Secretary of Transportation (Secretary) to establish a Real-time System Management Information Program that provides, in all states, the capability to monitor, in real-time, the traffic and travel conditions of the major highways of the United States and to share that data with state and local governments and with the traveling public. This proposed rule would establish minimum parameters and requirements for states to make available and share traffic and travel conditions information via real-time information programs",No,,
Electronic On-Board Recorders,2126-AB20,,Proposed Rule,RIAMeta2010-2011,20,1-Feb-01,Department of Transportation,N/A,N/A,,452,452,452,451,http://www.regulations.gov/#!docketDetail;D=FMCSA-2010-0167,United Parcel Service; American Trucking Association; National Federation of Independent Business; Truckload Carriers Association; Daimler-Benz; Agricultural Retailers Association; National Propane Gas Association; National School Transportation Association; National Association of Chemical Distributors; National Ready Mixed Concrete Association; Engine Manufacturers Association; National Solid Wastes Management Association; National Limousine Association; United Motorcoach Association; California Trucking Association; YRC Worldwide; FirstGroup America; New England Fuel Institute; Werner Enterprises; BNSF Railway; Dart Transit; Knight Transportation; American Association for Justice; Petroleum Marketers Association; FedEx Corp; Cullen Law Firm; Commercial Vehicle Safety Alliance,2100,"The Federal Motor Carrier Safety Administration (FMCSA) proposes to amend the Federal Motor Carrier Safety Regulations (FMCSRs) to require certain motor carriers operating commercial motor vehicles (CMVs) in interstate commerce to use electronic on-board recorders (EOBRs) to document their drivers’ hours of service (HOS). Under this proposal, all motor carriers currently required to maintain Records of Duty Status (RODS) for HOS recordkeeping would be required to use EOBRs to systematically and effectively monitor their drivers’ compliance with HOS requirements. Additionally, this proposal sets forth the supporting documents that all motor carriers currently required to use RODS would still be required to obtain and keep, as required by section 113(a) of the Hazardous Materials Transportation Authorization Act (HMTAA).",No,,
