	Distribution of Employment within Food Manufacturing (NAICS 311):	Bureau; generated by RTI International; using American FactFinder; â€œSector 00: All sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Animal Slaughtering and Processing made up the largest share of both employment (33%) and the value of shipments (27%)	Census Bureau; generated by RTI International; using American FactFinder; â€œSector 31: Manufacturing: Geographic Area Series: Industry Statistics for the States, Metropolitan and Micropolitan Statistical Areas, Counties, and Places:	Department of Energy, Energy Information Administration.	Census Bureau; generated by RTI International; using American FactFinder; â€œSector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries:	Bureau; generated by Kapur Energy and Environment; using American FactFinder; â€œSector 00: EC0700A1: All Sectors: Geographic Area Series: Economy-Wide Key Statistics:	Bureau; generated by Kapur Energy and Environment; using American FactFinder; â€œSector 31: EC0731I1: Manufacturing: Industry Series: Detailed Statistics by Industry for the United States: 2007.â€ Accessed on	Firm Size Data from the Statistics of U.S. Businesses: U.S. Detail Employment Sizes:	Paper & Forest Products.	Assessing the Employment Impacts of Environmental and Natural Resource Policy.â€ Environmental and Resource Economics	Environmental regulation and labor demand: Evidence from the south coast air basin.	Do environmental regulations cost jobs? An industry-level analysis of the UK.	Transforming: The Dow Chemical Company	Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish.	Jobs versus the Environment: An Industry-Level Perspective.â€	What Determines the Value of Life?	Estimating the Public Health Benefits of Proposed Air Pollution Regulations.	Chemicals.â€ Standard and Poorâ€™s Industry Surveys.	Lung Cancer, Cardiopulmonary Mortality, and Long-term Exposure to Fine Particulate Air Pollution.â€	Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the U.S.â€ Environ. Sci. Technol.	Applying General Equilibrium. New York:	of Economic Analysis (BEA).	Producer Price Index. Series ID:PCU321â€”321â€”& PCUOMFGâ€”OMFGâ€”<http://www.bls.gov/ppi/home.htm&gt;. (Data accessed on	Producer Price Index. Series ID:PCU322â€“322â€“ & PCUOMFGâ€“OMFGâ€“.	of Labor Statistics (BLS).	Producer Price Index.â€ Series ID: PCU3313â€“ 3313â€“ & PCUOMFGâ€“OMFGâ€“.	Economic Census: Sector 00: All sectors: Core Business Statistics Series: Comparative Statistics for the United States and the States	Economic Census: Sector 22: Utilities: Geographic Area Series: Summary Statistics:	Census of Governments, Volume 4, Number 3, Finances of County Governments:	Census of Governments, Volume 4, Number 4, Finances of Municipal and Township Governments:	Exclusions from the Economic Census.â€	NAICS Definition.â€ sssd/naics/naicsrch?code=324&search=2002%20NAICS%20Search&gt;.	Department of Energy, Energy Information Administration. 2010d. â€œElectric Power Annual 2008: Table 8.1, Table 8.3, Table 8.4, Table 8.5,	Occupational Safety and Health Administration (OSHA).	As obtained on	Producer Price Indexes. Id: PCU311â€”311â€”Food Manufacturing & PCUOMFGâ€“OMFGâ€“Total Manufacturing&gt;.	Environmental Protection Agency, Office of Air Quality Planning and Standards.	Guidelines for Preparing Economic Analyses.	Environmental Protection Agency.	Regulatory Impact Analysis,	Regulatory Impact Analysis: National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry. Office of Air Quality Planning and Standards, Research Triangle Park,	Environmental Protection Agency (U.S.	Integrated Science Assessment for Particulate Matter (Final Report). EPA-600-R-08-139F. National Center for Environmental Assessmentâ€”RTP Division. December. Available at TO: Jim Eddinger, U.S. Environmental Protection Agency, OAQPS/SPPD FROM: Susan McClutchey, Amanda Singleton, and Graham Gibson,	Methodology for Estimating Control Costs for the Major Source Industrial, Commercial and Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants.	New Unit Analysis for Industrial, Commercial, and Institutional Boilers and Process Heaters at Major Sources.	Delivered Fuel Prices to Industrial and Commercial Clients.	Department of Energy, EIA. Annual Energy Outlook 2009. Table 2. Energy Consumption by Sector	MACT Floor Analysis for the Industrial, Commercial, Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	New Unit Analysis Industrial, Commercial, and Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	Methodology for Estimating Control Costs for Industrial, Commercial, Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	Methodology for Estimating Control Costs for Industrial, Commercial, Institutional Boilers and Process Heaters National Emission Standards for Hazardous Air Pollutants â€“ Major Source.	Development of Baseline Emission Factors for Boilers and Process Heaters at Commercial, Industrial and Institutional Facilities.	Methodology for Developing Model Units for Industrial, Commercial, and Institutional Boilers National Emission Standards for Hazardous Air Pollutants â€“ Area Source.	Department of Energy. Energy Information Administration. Annual Energy Outlook	Institute. Sector-Based Based Pollution Prevention: Toxic Reductions through Energy Efficiency and Conservation Among Industrial Boilers.
Table of Small Business Size Standards Matched to North American Industry Classification System Codes	0.18644067796610164	0.21311475409836067	0.2592592592592593	0.2063492063492064	0.34782608695652173	0.22580645161290325	0.32258064516129037	0.2941176470588235	0.2549019607843137	0.5	0.2857142857142857	0.276595744680851	0.2692307692307693	0.3191489361702128	0.26530612244897955	0.33333333333333337	0.37777777777777777	0.2692307692307693	0.2692307692307693	0.34545454545454546	0.23809523809523814	0.4285714285714286	0.36585365853658536	0.375	0.4716981132075472	0.4	0.4814814814814815	0.23076923076923073	0.2941176470588235	0.2941176470588235	0.23636363636363633	0.36170212765957444	0.33333333333333337	0.3650793650793651	0.22448979591836737	0.42105263157894735	0.3793103448275862	0.2941176470588235	0.33333333333333337	0.40909090909090906	0.30434782608695654	0.180327868852459	0.3913043478260869	0.32432432432432434	0.1228070175438597	0.1636363636363637	0.3191489361702128	0.26315789473684215	0.1333333333333333	0.2068965517241379	0.15254237288135597	0.16666666666666663	0.3076923076923077	0.2063492063492064	0.31999999999999995	0.1785714285714286
OSHA Technical Manual Section IV Chapter 2 Petroleum Refining Processes	0.2786885245901639	0.2698412698412699	0.25	0.23076923076923073	0.375	0.28125	0.40625	0.34285714285714286	0.3584905660377359	0.47619047619047616	0.27586206896551724	0.34693877551020413	0.37037037037037035	0.30612244897959184	0.2549019607843137	0.3928571428571429	0.36170212765957444	0.2222222222222222	0.33333333333333337	0.33333333333333337	0.2615384615384615	0.4901960784313726	0.4883720930232558	0.303030303030303	0.4181818181818182	0.5238095238095238	0.4642857142857143	0.2962962962962963	0.24528301886792447	0.39622641509433965	0.29824561403508776	0.3877551020408163	0.3571428571428571	0.3538461538461538	0.21568627450980393	0.55	0.33333333333333337	0.28301886792452835	0.31999999999999995	0.3913043478260869	0.25	0.1428571428571429	0.375	0.3157894736842105	0.22033898305084743	0.26315789473684215	0.34693877551020413	0.22033898305084743	0.25806451612903225	0.33333333333333337	0.24590163934426235	0.25806451612903225	0.2962962962962963	0.2615384615384615	0.3076923076923077	0.2068965517241379
2006 National Ambient Air Quality Standards for Particulate Matter Chapter 5	0.22580645161290325	0.28125	0.19298245614035092	0.2727272727272727	0.3877551020408163	0.32307692307692304	0.32307692307692304	0.295774647887324	0.33333333333333337	0.4418604651162791	0.288135593220339	0.31999999999999995	0.3090909090909091	0.36	0.3076923076923077	0.33333333333333337	0.41666666666666663	0.2727272727272727	0.3090909090909091	0.31034482758620685	0.2727272727272727	0.42307692307692313	0.4545454545454546	0.34328358208955223	0.4642857142857143	0.4883720930232558	0.5087719298245614	0.23636363636363633	0.2592592592592593	0.33333333333333337	0.27586206896551724	0.4	0.33333333333333337	0.303030303030303	0.23076923076923073	0.46341463414634143	0.4426229508196722	0.2592592592592593	0.2941176470588235	0.4042553191489362	0.34693877551020413	0.21875	0.3877551020408163	0.2727272727272727	0.23333333333333328	0.24137931034482762	0.36	0.2666666666666667	0.2698412698412699	0.3114754098360656	0.25806451612903225	0.2698412698412699	0.34545454545454546	0.2727272727272727	0.3584905660377359	0.288135593220339
Final Regulatory Impact Analysis RIA for the NO2 National Ambient Air Quality Standards NAAQS 	0.180327868852459	0.2063492063492064	0.1785714285714286	0.23076923076923073	0.29166666666666663	0.25	0.3125	0.2857142857142857	0.28301886792452835	0.4285714285714286	0.2068965517241379	0.26530612244897955	0.2592592592592593	0.34693877551020413	0.17647058823529416	0.3214285714285714	0.4042553191489362	0.2222222222222222	0.33333333333333337	0.33333333333333337	0.2615384615384615	0.37254901960784315	0.4418604651162791	0.303030303030303	0.4545454545454546	0.47619047619047616	0.5	0.2962962962962963	0.24528301886792447	0.3207547169811321	0.29824561403508776	0.4285714285714286	0.3214285714285714	0.32307692307692304	0.17647058823529416	0.44999999999999996	0.4	0.2075471698113207	0.28	0.3913043478260869	0.20833333333333337	0.17460317460317465	0.375	0.26315789473684215	0.2542372881355932	0.29824561403508776	0.34693877551020413	0.22033898305084743	0.29032258064516125	0.33333333333333337	0.2786885245901639	0.29032258064516125	0.33333333333333337	0.29230769230769227	0.23076923076923073	0.24137931034482762
Proposed SO2 NAAQS Regulatory Impact Analysis RIA	0.27586206896551724	0.30000000000000004	0.2075471698113207	0.29032258064516125	0.28888888888888886	0.3114754098360656	0.3770491803278688	0.3731343283582089	0.36	0.3846153846153846	0.19999999999999996	0.34782608695652173	0.33333333333333337	0.3913043478260869	0.20833333333333337	0.3207547169811321	0.4545454545454546	0.2549019607843137	0.2941176470588235	0.2962962962962963	0.32258064516129037	0.375	0.44999999999999996	0.33333333333333337	0.42307692307692313	0.5384615384615384	0.4716981132075472	0.33333333333333337	0.24	0.4	0.40740740740740744	0.4782608695652174	0.3584905660377359	0.32258064516129037	0.20833333333333337	0.45945945945945943	0.4035087719298246	0.16000000000000003	0.23404255319148937	0.3023255813953488	0.15555555555555556	0.16666666666666663	0.28888888888888886	0.31506849315068497	0.25	0.2592592592592593	0.30434782608695654	0.25	0.3220338983050848	0.29824561403508776	0.27586206896551724	0.288135593220339	0.33333333333333337	0.29032258064516125	0.22448979591836737	0.23636363636363633
Regulatory Impact Analysis for the Petroleum Refineries NSPS	0.2142857142857143	0.24137931034482762	0.17647058823529416	0.23333333333333328	0.2558139534883721	0.288135593220339	0.35593220338983056	0.3538461538461538	0.25	0.4054054054054054	0.13207547169811318	0.2727272727272727	0.26530612244897955	0.2727272727272727	0.13043478260869568	0.2941176470588235	0.33333333333333337	0.18367346938775508	0.26530612244897955	0.3076923076923077	0.2666666666666667	0.34782608695652173	0.368421052631579	0.3770491803278688	0.52	0.45945945945945943	0.5294117647058824	0.26530612244897955	0.20833333333333337	0.33333333333333337	0.34615384615384615	0.36363636363636365	0.33333333333333337	0.33333333333333337	0.17391304347826086	0.48571428571428577	0.4181818181818182	0.20833333333333337	0.19999999999999996	0.2682926829268293	0.11627906976744184	0.1724137931034483	0.2558139534883721	0.323943661971831	0.18518518518518523	0.23076923076923073	0.31818181818181823	0.2592592592592593	0.26315789473684215	0.2727272727272727	0.2142857142857143	0.22807017543859653	0.30612244897959184	0.23333333333333328	0.23404255319148937	0.16981132075471694
Regulatory Impact Analysis for the Petroleum Refineries NSPS Chapter 3	0.1724137931034483	0.23333333333333328	0.16981132075471694	0.19354838709677424	0.28888888888888886	0.24590163934426235	0.34426229508196726	0.31343283582089554	0.28	0.4358974358974359	0.1636363636363637	0.30434782608695654	0.2941176470588235	0.26086956521739135	0.16666666666666663	0.3207547169811321	0.36363636363636365	0.21568627450980393	0.2549019607843137	0.2962962962962963	0.25806451612903225	0.375	0.4	0.33333333333333337	0.46153846153846156	0.4871794871794872	0.4716981132075472	0.2549019607843137	0.19999999999999996	0.28	0.33333333333333337	0.34782608695652173	0.28301886792452835	0.32258064516129037	0.20833333333333337	0.5135135135135135	0.368421052631579	0.24	0.23404255319148937	0.3023255813953488	0.15555555555555556	0.16666666666666663	0.28888888888888886	0.28767123287671237	0.1785714285714286	0.2222222222222222	0.30434782608695654	0.25	0.2542372881355932	0.26315789473684215	0.2068965517241379	0.22033898305084743	0.2941176470588235	0.22580645161290325	0.26530612244897955	0.1636363636363637
Regulatory Impact Analysis National Emission Standards for Hazardous Air Pollutants from the Portland Cement Manufacturing Industry	0.16129032258064513	0.25	0.22807017543859653	0.21212121212121215	0.26530612244897955	0.2615384615384615	0.32307692307692304	0.295774647887324	0.2592592592592593	0.4418604651162791	0.15254237288135597	0.28	0.3090909090909091	0.31999999999999995	0.1923076923076923	0.29824561403508776	0.41666666666666663	0.1636363636363637	0.2727272727272727	0.24137931034482762	0.21212121212121215	0.3846153846153846	0.40909090909090906	0.34328358208955223	0.4642857142857143	0.5348837209302326	0.4736842105263158	0.23636363636363633	0.2222222222222222	0.37037037037037035	0.31034482758620685	0.36	0.33333333333333337	0.33333333333333337	0.1923076923076923	0.5121951219512195	0.3770491803278688	0.2222222222222222	0.21568627450980393	0.3191489361702128	0.22448979591836737	0.0625	0.30612244897959184	0.2727272727272727	0.06666666666666665	0.1724137931034483	0.31999999999999995	0.2666666666666667	0.1428571428571429	0.180327868852459	0.09677419354838712	0.11111111111111116	0.23636363636363633	0.12121212121212122	0.24528301886792447	0.15254237288135597
Environmental regulation and labor demand Evidence from the south coast air basin	0.2692307692307693	0.2962962962962963	0.19148936170212771	0.3571428571428571	0.28205128205128205	0.34545454545454546	0.3090909090909091	0.34426229508196726	0.2727272727272727	0.3939393939393939	0.22448979591836737	0.0	0.15555555555555556	0.30000000000000004	0.19047619047619047	0.276595744680851	0.26315789473684215	0.15555555555555556	0.28888888888888886	0.33333333333333337	0.2857142857142857	0.38095238095238093	0.3529411764705882	0.368421052631579	0.5652173913043479	0.3939393939393939	0.574468085106383	0.19999999999999996	0.2727272727272727	0.2727272727272727	0.25	0.25	0.4042553191489362	0.3571428571428571	0.23809523809523814	0.3548387096774194	0.4117647058823529	0.18181818181818177	0.2195121951219512	0.2432432432432432	0.28205128205128205	0.33333333333333337	0.28205128205128205	0.4029850746268657	0.28	0.375	0.25	0.31999999999999995	0.3584905660377359	0.37254901960784315	0.3076923076923077	0.3207547169811321	0.24444444444444446	0.3214285714285714	0.2558139534883721	0.22448979591836737
Lung Cancer Cardiopulmonary Mortality and Longterm Exposure to Fine Particulate Air Pollution	0.22807017543859653	0.3220338983050848	0.2692307692307693	0.2786885245901639	0.2727272727272727	0.30000000000000004	0.30000000000000004	0.33333333333333337	0.30612244897959184	0.3157894736842105	0.2592592592592593	0.28888888888888886	0.31999999999999995	0.33333333333333337	0.276595744680851	0.2692307692307693	0.39534883720930236	0.24	0.31999999999999995	0.05660377358490565	0.21311475409836067	0.36170212765957444	0.3846153846153846	0.32258064516129037	0.4117647058823529	0.5263157894736843	0.42307692307692313	0.28	0.22448979591836737	0.34693877551020413	0.3207547169811321	0.33333333333333337	0.46153846153846156	0.34426229508196726	0.276595744680851	0.4444444444444444	0.3214285714285714	0.22448979591836737	0.17391304347826086	0.23809523809523814	0.2272727272727273	0.2542372881355932	0.2727272727272727	0.36111111111111116	0.23636363636363633	0.28301886792452835	0.24444444444444446	0.3090909090909091	0.27586206896551724	0.3214285714285714	0.26315789473684215	0.27586206896551724	0.24	0.2786885245901639	0.25	0.2222222222222222
Effects of Air Quality Regulation	0.33333333333333337	0.3584905660377359	0.30434782608695654	0.38181818181818183	0.26315789473684215	0.37037037037037035	0.40740740740740744	0.43333333333333335	0.3023255813953488	0.4375	0.25	0.23076923076923073	0.2727272727272727	0.33333333333333337	0.2195121951219512	0.3913043478260869	0.3513513513513513	0.2272727272727273	0.40909090909090906	0.3191489361702128	0.38181818181818183	0.36585365853658536	0.2727272727272727	0.5357142857142857	0.6	0.4375	0.6086956521739131	0.31818181818181823	0.2558139534883721	0.34883720930232553	0.44680851063829785	0.33333333333333337	0.4347826086956522	0.38181818181818183	0.2682926829268293	0.4	0.43999999999999995	0.16279069767441856	0.19999999999999996	0.2222222222222222	0.1578947368421053	0.28301886792452835	0.26315789473684215	0.4242424242424242	0.30612244897959184	0.36170212765957444	0.3846153846153846	0.30612244897959184	0.3846153846153846	0.36	0.33333333333333337	0.34615384615384615	0.36363636363636365	0.38181818181818183	0.23809523809523814	0.25
Jobs versus the Environment An IndustryLevel Perspective	0.2857142857142857	0.31034482758620685	0.21568627450980393	0.33333333333333337	0.3023255813953488	0.35593220338983056	0.3220338983050848	0.3538461538461538	0.33333333333333337	0.4054054054054054	0.2075471698113207	0.2272727272727273	0.26530612244897955	0.40909090909090906	0.26086956521739135	0.05882352941176472	0.38095238095238093	0.22448979591836737	0.26530612244897955	0.2692307692307693	0.23333333333333328	0.3913043478260869	0.42105263157894735	0.3770491803278688	0.52	0.5135135135135135	0.5294117647058824	0.26530612244897955	0.29166666666666663	0.375	0.34615384615384615	0.36363636363636365	0.4901960784313726	0.33333333333333337	0.26086956521739135	0.4285714285714286	0.49090909090909096	0.25	0.24444444444444446	0.2682926829268293	0.2558139534883721	0.31034482758620685	0.3023255813953488	0.352112676056338	0.2962962962962963	0.34615384615384615	0.2727272727272727	0.33333333333333337	0.33333333333333337	0.34545454545454546	0.3214285714285714	0.33333333333333337	0.26530612244897955	0.30000000000000004	0.276595744680851	0.24528301886792447
What Determines the Value of Life A MetaAnalysis	0.3207547169811321	0.4181818181818182	0.33333333333333337	0.4035087719298246	0.30000000000000004	0.4285714285714286	0.4285714285714286	0.4193548387096774	0.28888888888888886	0.5294117647058824	0.36	0.31707317073170727	0.26086956521739135	0.31707317073170727	0.2558139534883721	0.375	0.07692307692307687	0.34782608695652173	0.3913043478260869	0.34693877551020413	0.4035087719298246	0.4418604651162791	0.37142857142857144	0.48275862068965514	0.574468085106383	0.47058823529411764	0.5833333333333333	0.34782608695652173	0.33333333333333337	0.33333333333333337	0.34693877551020413	0.36585365853658536	0.45833333333333337	0.4385964912280702	0.2558139534883721	0.4375	0.5	0.33333333333333337	0.33333333333333337	0.368421052631579	0.30000000000000004	0.38181818181818183	0.4	0.47058823529411764	0.33333333333333337	0.34693877551020413	0.36585365853658536	0.37254901960784315	0.37037037037037035	0.42307692307692313	0.3584905660377359	0.37037037037037035	0.3913043478260869	0.368421052631579	0.2727272727272727	0.36
An Empirical Bayes Approach to Combining Estimates of the Value of Statistical Life for Environmental Policy Analysis	0.23333333333333328	0.22580645161290325	0.1636363636363637	0.25	0.3191489361702128	0.2698412698412699	0.23809523809523814	0.2753623188405797	0.23076923076923073	0.46341463414634143	0.22807017543859653	0.20833333333333337	0.24528301886792447	0.29166666666666663	0.28	0.23636363636363633	0.30434782608695654	0.16981132075471694	0.28301886792452835	0.25	0.21875	0.36	0.33333333333333337	0.3538461538461538	0.5555555555555556	0.36585365853658536	0.5636363636363637	0.16981132075471694	0.1923076923076923	0.2692307692307693	0.2857142857142857	0.33333333333333337	0.4181818181818182	0.34375	0.24	0.4871794871794872	0.4576271186440678	0.1923076923076923	0.22448979591836737	0.24444444444444446	0.276595744680851	0.25806451612903225	0.23404255319148937	0.33333333333333337	0.2068965517241379	0.2857142857142857	0.33333333333333337	0.24137931034482762	0.2786885245901639	0.288135593220339	0.23333333333333328	0.24590163934426235	0.24528301886792447	0.21875	0.2941176470588235	0.1578947368421053
The Value of a Statistical Life A Critical Review of Market Estimates throughout the World	0.2786885245901639	0.3015873015873016	0.3214285714285714	0.32307692307692304	0.41666666666666663	0.3125	0.34375	0.37142857142857144	0.39622641509433965	0.5238095238095238	0.31034482758620685	0.26530612244897955	0.33333333333333337	0.34693877551020413	0.33333333333333337	0.3928571428571429	0.3191489361702128	0.2962962962962963	0.37037037037037035	0.33333333333333337	0.29230769230769227	0.4509803921568627	0.4883720930232558	0.3939393939393939	0.5636363636363637	0.47619047619047616	0.5714285714285714	0.2592592592592593	0.3207547169811321	0.39622641509433965	0.26315789473684215	0.3877551020408163	0.4285714285714286	0.41538461538461535	0.33333333333333337	0.55	0.43333333333333335	0.28301886792452835	0.36	0.3913043478260869	0.375	0.23809523809523814	0.375	0.368421052631579	0.288135593220339	0.33333333333333337	0.3877551020408163	0.3220338983050848	0.32258064516129037	0.3666666666666667	0.3114754098360656	0.32258064516129037	0.37037037037037035	0.32307692307692304	0.34615384615384615	0.2068965517241379
Reduction in fine particulate air pollution and mortality  Extended followup of the Harvard six cities study	0.2857142857142857	0.31034482758620685	0.2549019607843137	0.3666666666666667	0.3023255813953488	0.35593220338983056	0.35593220338983056	0.3846153846153846	0.25	0.4054054054054054	0.2075471698113207	0.18181818181818177	0.26530612244897955	0.2727272727272727	0.17391304347826086	0.2941176470588235	0.33333333333333337	0.18367346938775508	0.30612244897959184	0.3076923076923077	0.30000000000000004	0.3913043478260869	0.368421052631579	0.3770491803278688	0.56	0.5135135135135135	0.5686274509803921	0.22448979591836737	0.29166666666666663	0.33333333333333337	0.2692307692307693	0.2727272727272727	0.4901960784313726	0.3666666666666667	0.17391304347826086	0.48571428571428577	0.4545454545454546	0.25	0.24444444444444446	0.31707317073170727	0.2558139534883721	0.27586206896551724	0.34883720930232553	0.4084507042253521	0.2962962962962963	0.3076923076923077	0.31818181818181823	0.37037037037037035	0.33333333333333337	0.3090909090909091	0.3214285714285714	0.33333333333333337	0.22448979591836737	0.30000000000000004	0.276595744680851	0.2075471698113207
Expert Judgment Assessment of the Mortality Impact of Changes in Ambient Fine Particulate Matter in the US	0.1428571428571429	0.19999999999999996	0.2068965517241379	0.19402985074626866	0.28	0.24242424242424243	0.2727272727272727	0.2222222222222222	0.23636363636363633	0.40909090909090906	0.23333333333333328	0.2549019607843137	0.25	0.33333333333333337	0.24528301886792447	0.24137931034482762	0.4285714285714286	0.2142857142857143	0.2857142857142857	0.18644067796610164	0.07462686567164178	0.39622641509433965	0.4222222222222223	0.23529411764705888	0.368421052631579	0.5	0.3793103448275862	0.2142857142857143	0.19999999999999996	0.34545454545454546	0.288135593220339	0.33333333333333337	0.3793103448275862	0.31343283582089554	0.24528301886792447	0.47619047619047616	0.29032258064516125	0.23636363636363633	0.23076923076923073	0.33333333333333337	0.28	0.19999999999999996	0.28	0.23076923076923073	0.180327868852459	0.22033898305084743	0.2941176470588235	0.24590163934426235	0.21875	0.25806451612903225	0.2063492063492064	0.21875	0.25	0.19402985074626866	0.2592592592592593	0.16666666666666663
Recovery of MercuryContaminated Fisheries	0.28301886792452835	0.2727272727272727	0.29166666666666663	0.29824561403508776	0.35	0.2857142857142857	0.3571428571428571	0.3548387096774194	0.28888888888888886	0.3529411764705882	0.28	0.2195121951219512	0.26086956521739135	0.31707317073170727	0.2093023255813954	0.375	0.33333333333333337	0.30434782608695654	0.26086956521739135	0.30612244897959184	0.29824561403508776	0.5348837209302326	0.4285714285714286	0.3793103448275862	0.44680851063829785	0.47058823529411764	0.45833333333333337	0.26086956521739135	0.33333333333333337	0.24444444444444446	0.22448979591836737	0.31707317073170727	0.41666666666666663	0.4736842105263158	0.2558139534883721	0.4375	0.3846153846153846	0.28888888888888886	0.33333333333333337	0.368421052631579	0.30000000000000004	0.3090909090909091	0.4	0.38235294117647056	0.2941176470588235	0.30612244897959184	0.2195121951219512	0.4117647058823529	0.2962962962962963	0.3846153846153846	0.3207547169811321	0.33333333333333337	0.26086956521739135	0.33333333333333337	0.36363636363636365	0.24
Deposition and cycling of sulfur controls mercury accumulation in Isle Royale fish	0.2222222222222222	0.25	0.22448979591836737	0.27586206896551724	0.1707317073170732	0.29824561403508776	0.368421052631579	0.33333333333333337	0.21739130434782605	0.37142857142857144	0.17647058823529416	0.19047619047619047	0.19148936170212771	0.19047619047619047	0.0	0.30612244897959184	0.25	0.19148936170212771	0.276595744680851	0.31999999999999995	0.31034482758620685	0.40909090909090906	0.38888888888888884	0.35593220338983056	0.5	0.48571428571428577	0.5102040816326531	0.276595744680851	0.26086956521739135	0.34782608695652173	0.31999999999999995	0.33333333333333337	0.34693877551020413	0.31034482758620685	0.18181818181818177	0.4545454545454546	0.39622641509433965	0.26086956521739135	0.2093023255813954	0.33333333333333337	0.12195121951219512	0.25	0.36585365853658536	0.3623188405797102	0.2692307692307693	0.31999999999999995	0.23809523809523814	0.2692307692307693	0.34545454545454546	0.3584905660377359	0.2962962962962963	0.3090909090909091	0.23404255319148937	0.27586206896551724	0.15555555555555556	0.21568627450980393
Do environmental regulations cost jobs An industrylevel analysis of the UK	0.26315789473684215	0.2542372881355932	0.1923076923076923	0.34426229508196726	0.2727272727272727	0.33333333333333337	0.30000000000000004	0.2727272727272727	0.26530612244897955	0.4736842105263158	0.2592592592592593	0.15555555555555556	0.0	0.28888888888888886	0.19148936170212771	0.3076923076923077	0.3023255813953488	0.24	0.31999999999999995	0.3584905660377359	0.2786885245901639	0.4042553191489362	0.3846153846153846	0.3548387096774194	0.5294117647058824	0.4736842105263158	0.5384615384615384	0.24	0.26530612244897955	0.30612244897959184	0.3207547169811321	0.37777777777777777	0.3846153846153846	0.34426229508196726	0.23404255319148937	0.38888888888888884	0.4285714285714286	0.22448979591836737	0.26086956521739135	0.2857142857142857	0.2727272727272727	0.35593220338983056	0.2727272727272727	0.36111111111111116	0.2727272727272727	0.28301886792452835	0.28888888888888886	0.3090909090909091	0.3793103448275862	0.3571428571428571	0.33333333333333337	0.31034482758620685	0.31999999999999995	0.2786885245901639	0.25	0.2592592592592593
Assessing the Employment Impacts of Environmental and Natural Resource Policy	0.2068965517241379	0.23333333333333328	0.16981132075471694	0.25806451612903225	0.19999999999999996	0.2786885245901639	0.3114754098360656	0.31343283582089554	0.28	0.3846153846153846	0.054545454545454564	0.17391304347826086	0.21568627450980393	0.30434782608695654	0.125	0.2075471698113207	0.36363636363636365	0.13725490196078427	0.2549019607843137	0.2592592592592593	0.22580645161290325	0.33333333333333337	0.35	0.3650793650793651	0.5384615384615384	0.5384615384615384	0.5471698113207547	0.21568627450980393	0.24	0.31999999999999995	0.2962962962962963	0.34782608695652173	0.3584905660377359	0.29032258064516125	0.20833333333333337	0.45945945945945943	0.4035087719298246	0.16000000000000003	0.14893617021276595	0.2093023255813954	0.15555555555555556	0.16666666666666663	0.24444444444444446	0.28767123287671237	0.1785714285714286	0.2592592592592593	0.26086956521739135	0.2857142857142857	0.2542372881355932	0.26315789473684215	0.2068965517241379	0.22033898305084743	0.21568627450980393	0.19354838709677424	0.18367346938775508	0.12727272727272732
The Impacts of Environmental Regulations on Industrial Activity Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures	0.2063492063492064	0.19999999999999996	0.24137931034482762	0.22388059701492535	0.28	0.21212121212121215	0.24242424242424243	0.2222222222222222	0.34545454545454546	0.5	0.19999999999999996	0.2549019607843137	0.2857142857142857	0.2941176470588235	0.2075471698113207	0.31034482758620685	0.4285714285714286	0.25	0.3214285714285714	0.288135593220339	0.22388059701492535	0.4339622641509434	0.4222222222222223	0.3529411764705882	0.543859649122807	0.5909090909090908	0.5172413793103448	0.2142857142857143	0.2727272727272727	0.38181818181818183	0.288135593220339	0.37254901960784315	0.3793103448275862	0.28358208955223885	0.28301886792452835	0.5238095238095238	0.3548387096774194	0.2727272727272727	0.2692307692307693	0.33333333333333337	0.24	0.19999999999999996	0.36	0.23076923076923073	0.24590163934426235	0.3220338983050848	0.33333333333333337	0.21311475409836067	0.28125	0.3548387096774194	0.2698412698412699	0.28125	0.2857142857142857	0.25373134328358204	0.2592592592592593	0.16666666666666663
